iter	RMSE
0	0.1458329194
1	0.1413930782
2	0.1374277185
3	0.1336867244
4	0.1301579137
5	0.1268292101
6	0.123848833
7	0.1207915275
8	0.1179228835
9	0.115423611
10	0.1130557884
11	0.110794943
12	0.1084966485
13	0.106218617
14	0.1042520477
15	0.1024379464
16	0.1007814271
17	0.09916898263
18	0.09754651749
19	0.09598930551
20	0.09457938476
21	0.0932349874
22	0.09203173327
23	0.09090384234
24	0.08993694287
25	0.08892464
26	0.08798351338
27	0.0870935881
28	0.08626916845
29	0.08541731918
30	0.08464672951
31	0.0839709387
32	0.08330200383
33	0.08270119194
34	0.08206584553
35	0.0814883464
36	0.08096635792
37	0.08050190059
38	0.08005319417
39	0.07959686395
40	0.07920533597
41	0.07879229183
42	0.07838719232
43	0.07797899452
44	0.07763530831
45	0.07726686102
46	0.0769355386
47	0.07659557678
48	0.07632649973
49	0.07610959283
50	0.07585897851
51	0.07561277998
52	0.07540507002
53	0.07517878027
54	0.07487934234
55	0.07466001067
56	0.07445397883
57	0.07423028654
58	0.0739809134
59	0.07377030588
60	0.07357840759
61	0.07341041406
62	0.07323970735
63	0.0730231866
64	0.07288181516
65	0.07276516967
66	0.07263231645
67	0.07249485236
68	0.07230023186
69	0.07216770736
70	0.07199852847
71	0.07187258808
72	0.07174634765
73	0.07162097603
74	0.07152569124
75	0.07140605028
76	0.07129819898
77	0.07108212526
78	0.07100660381
79	0.07087053085
80	0.07076579742
81	0.07066641923
82	0.07053057267
83	0.07042387992
84	0.07030290211
85	0.07022963003
86	0.07015846445
87	0.07009612118
88	0.07001242485
89	0.06989893889
90	0.06984173768
91	0.06974591287
92	0.06967226115
93	0.0696044296
94	0.06950995978
95	0.06941268039
96	0.06924723976
97	0.06918876274
98	0.06905107332
99	0.06898128495
100	0.0688703621
101	0.06879566062
102	0.06873196098
103	0.06862064886
104	0.06857513755
105	0.06853300129
106	0.06845880629
107	0.06839879663
108	0.06833192092
109	0.06824919464
110	0.06823005383
111	0.06813966771
112	0.0679909502
113	0.0679474413
114	0.06788776626
115	0.06780788192
116	0.06773927785
117	0.06765889812
118	0.06762024494
119	0.06755872863
120	0.06751767038
121	0.06745580035
122	0.06742112577
123	0.06738435955
124	0.06729377938
125	0.06725946918
126	0.06718914159
127	0.06712139094
128	0.06702261677
129	0.06690054824
130	0.06682462889
131	0.06675013478
132	0.06670803265
133	0.06658105726
134	0.06653328817
135	0.06652707542
136	0.06648421042
137	0.06637784147
138	0.06631953291
139	0.06621234769
140	0.06618560432
141	0.06615232128
142	0.0661016267
143	0.06606132446
144	0.06601395538
145	0.0659494778
146	0.06588586996
147	0.06584110747
148	0.06577067203
149	0.06570581679
