Date,Close,High,Low,Open,Volume,Ticker,Return,Volatility_5d,Volatility_21d,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,SMA_20,SMA_50,SMA_200
2015-10-16,2033.1099853515625,2033.5400390625,2020.4599609375,2024.3699951171875,3595430000,S&P500,0.004570474275370051,0.13636848754722716,0.17607472275083264,61.413522727303416,13.515142528702427,3.5355500334386227,9.979592495263804,27.336910354401148,1966.8299926757813,1984.67080078125,2059.8988525390623
2015-10-19,2033.6600341796875,2034.449951171875,2022.31005859375,2031.72998046875,3287320000,S&P500,0.00027054553471672627,0.1368124816459072,0.16463238274812664,61.51080498725461,15.43978895528494,5.916397817807886,9.523391137477052,26.251409084667138,1970.1644958496095,1983.7926000976563,2059.7761529541017
2015-10-20,2030.77001953125,2039.1199951171875,2026.6099853515625,2033.1300048828125,3331500000,S&P500,-0.0014210903493528937,0.12013203649275077,0.1646977629691052,60.6456740742583,16.541208332301494,8.041359920706608,8.499848411594886,25.269880561878413,1974.5659973144532,1982.3244018554688,2059.8271032714842
2015-10-21,2018.93994140625,2037.969970703125,2017.219970703125,2033.469970703125,3627790000,S&P500,-0.005825414995899281,0.1246263309611849,0.1592431219713304,57.10507018878951,16.271930007088713,9.687473937983029,6.584456069105684,24.94703195031567,1978.5749938964843,1981.0217993164063,2059.9087530517577
2015-10-22,2052.510009765625,2055.199951171875,2021.8800048828125,2021.8800048828125,4430850000,S&P500,0.01662757156411132,0.13584998559551478,0.16641574372909906,63.59941284645865,18.553476031592027,11.460674356704828,7.092801674887198,25.755101794266334,1984.5884948730468,1980.3509985351564,2060.0418029785155
2015-10-23,2075.14990234375,2079.739990234375,2058.18994140625,2058.18994140625,4108460000,S&P500,0.011030344539323389,0.14820026971680758,0.1671984630808889,67.20550637777552,21.935607783157593,13.555661041995382,8.379946741162211,25.860450271015168,1991.7789916992188,1980.1861987304687,2060.1068530273437
2015-10-26,2071.179931640625,2075.139892578125,2066.530029296875,2075.080078125,3385800000,S&P500,-0.0019131006866738298,0.1525361903772469,0.16770067114590068,65.97131819685791,24.01875485113601,15.648279803823508,8.370475047312501,24.62898046929087,2001.2494873046876,1979.7789965820311,2060.238702392578
2015-10-27,2065.889892578125,2070.3701171875,2058.840087890625,2068.75,4216880000,S&P500,-0.002554118539720318,0.15512265171385178,0.13271026495102872,64.27740511595321,24.955134710222865,17.50965078510338,7.445483925119486,23.75118498934152,2010.3394836425782,1979.0479956054687,2060.4268518066406
2015-10-28,2090.35009765625,2090.35009765625,2063.110107421875,2066.47998046875,4698110000,S&P500,0.01184003327863703,0.1381821176553626,0.13450661965870794,68.32699569904335,27.355618085138758,19.478844245110455,7.876773840028303,24.00038536398677,2018.855487060547,1978.9165991210937,2060.7634521484374
2015-10-29,2089.409912109375,2092.52001953125,2082.6298828125,2088.35009765625,4008940000,S&P500,-0.0004497742019048401,0.11441100961675267,0.12545053533821407,68.00786731329971,28.84959318613255,21.352994033314875,7.4965991528176765,22.99251046075557,2027.1349853515626,1979.1125952148439,2061.154151611328
