date,tweet_sentiment_mean,tweet_sentiment_std,tweet_count,news_sentiment_mean,news_sentiment_std,news_count
2025-07-02,,,,-0.01694915254237288,0.6294914593304337,59
2025-07-03,,,,0.15,0.5795665931516721,40
2025-07-04,,,,-0.14285714285714285,0.5732115042211109,21
2025-07-05,,,,0.16666666666666666,0.7177405625652734,12
2025-07-06,,,,0.0,0.3779644730092272,15
2025-07-07,,,,-0.3484848484848485,0.5404392584505608,66
2025-07-08,,,,-0.21686746987951808,0.6058292597569606,83
2025-07-09,,,,0.06756756756756757,0.6480969207300368,74
2025-07-10,,,,-0.125,0.7227972727092277,40
2025-07-11,,,,0.0,0.5827715174143584,54
2025-07-12,,,,0.0,0.6030226891555273,12
2025-07-13,,,,0.2,0.6324555320336759,10
2025-07-14,,,,-0.2222222222222222,0.6374552583116766,36
2025-07-15,,,,-0.08108108108108109,0.49319696191607193,37
2025-07-16,,,,0.0,0.5694947974514994,38
2025-07-17,,,,0.13333333333333333,0.7302967433402214,30
2025-07-18,,,,-0.18421052631578946,0.6918546620495634,38
2025-07-19,,,,0.36363636363636365,0.6741998624632421,11
2025-07-20,,,,-0.125,0.6408699444616557,8
2025-07-21,,,,-0.0196078431372549,0.6161232369723244,51
2025-07-22,,,,0.0,0.6793662204867574,53
2025-07-23,,,,-0.09803921568627451,0.5386985042037638,51
2025-07-24,,,,-0.014705882352941176,0.6800493190811913,68
2025-07-25,,,,-0.10204081632653061,0.5494276552006823,49
2025-07-26,,,,0.07692307692307693,0.75955452531275,13
2025-07-27,,,,-0.3,0.6569466853317862,20
2025-07-28,,,,-0.09090909090909091,0.6030226891555271,44
2025-07-29,,,,-0.08163265306122448,0.7022800573215535,49
2025-07-30,,,,0.025,0.7111231978578997,80
2025-07-31,0.07142857142857142,0.8132500607904443,28.0,0.3181818181818182,0.5612580251760542,44
2025-08-01,-0.125,0.5550662947336072,72.0,-0.3170731707317073,0.686987059202861,41
