Date,Close,High,Low,Open,Volume,Ticker
,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX,
2015-01-02,10350.7890625,10440.288969615798,10232.289185480759,10386.689415867133,220239700,IBEX35
2015-01-05,9993.2900390625,10390.78965061864,9977.790054209367,10267.190162027311,299610800,IBEX35
2015-01-06,9871.08984375,10060.789851389287,9871.08984375,10040.69026189913,282855400,IBEX35
2015-01-07,9891.390625,10051.19027191965,9836.39067930064,9937.289993746726,290122400,IBEX35
2015-01-08,10114.990234375,10142.990207342129,9970.29017876471,10053.190489352723,320452300,IBEX35
2015-01-09,9718.990234375,10079.989871643173,9610.08995317282,10079.989871643173,789490200,IBEX35
2015-01-12,9797.490234375,9882.089759425626,9682.08995877495,9805.490226401027,454276600,IBEX35
2015-01-13,9965.990234375,9996.089814255569,9757.290243566598,9762.390824506065,407220100,IBEX35
2015-01-14,9845.990234375,10013.789872632482,9778.890691551862,9801.690473625677,474511500,IBEX35
2015-01-15,9982.490234375,10008.890599173172,9646.39095379767,9953.089872511651,408080100,IBEX35
2015-01-16,10038.890625,10060.190408967512,9882.089996282406,9948.589931592645,367663400,IBEX35
2015-01-19,10157.4892578125,10193.789024110702,10036.689580878301,10091.289132510821,253509700,IBEX35
2015-01-20,10283.8896484375,10332.289011943736,10186.689554656781,10194.889741403656,446596900,IBEX35
2015-01-21,10335.2890625,10340.289057303156,10146.98945352543,10324.989268517795,367573500,IBEX35
2015-01-22,10510.5888671875,10560.889597028403,10339.58904195527,10382.189584353533,508500200,IBEX35
2015-01-23,10581.4892578125,10692.989144619294,10532.389698282721,10604.889624681757,493574600,IBEX35
2015-01-26,10696.0888671875,10716.88962754709,10450.989503968207,10502.589061521263,309103700,IBEX35
2015-01-27,10598.8896484375,10707.088757525531,10528.08893894544,10669.48918625845,322879500,IBEX35
2015-01-28,10456.8896484375,10686.98902143527,10395.5889301607,10676.588641494405,366625000,IBEX35
2015-01-29,10507.5888671875,10513.088861564709,10320.789253470213,10391.189572123094,336720400,IBEX35
2015-01-30,10403.2890625,10581.588683079575,10336.088936576743,10562.588702698502,418610700,IBEX35
2015-02-02,10328.0888671875,10400.98918198929,10136.389847822578,10396.588795941107,443722900,IBEX35
2015-02-03,10598.189453125,10634.189416635903,10414.589053282487,10426.789236229039,446421200,IBEX35
2015-02-04,10577.7890625,10687.989145899703,10497.389730086386,10620.889604667096,386829400,IBEX35
2015-02-05,10535.4892578125,10535.4892578125,10388.889797913129,10451.689538568806,301147200,IBEX35
2015-02-06,10573.0888671875,10606.789028260862,10497.48933462112,10547.088893603299,278007700,IBEX35
2015-02-09,10364.8896484375,10473.288950154798,10289.689531062517,10467.788955855,290048000,IBEX35
2015-02-10,10500.0888671875,10561.389585723382,10338.589032411006,10389.789175342852,275834900,IBEX35
2015-02-11,10364.7890625,10516.489100588822,10342.789085301032,10496.088731107002,237217400,IBEX35
2015-02-12,10562.189453125,10607.088821522968,10328.48949549511,10349.589083410949,328004200,IBEX35
2015-02-13,10739.4892578125,10794.889593023247,10606.689585958038,10618.48937884278,427944600,IBEX35
2015-02-16,10689.4892578125,10793.088763077258,10679.889658084425,10717.789034060708,220583500,IBEX35
2015-02-17,10697.9892578125,10730.088834955306,10526.589039295852,10591.588974027372,272473600,IBEX35
2015-02-18,10805.2890625,10852.588820163966,10764.08890814705,10764.588907649972,298366800,IBEX35
2015-02-19,10910.3896484375,10918.389640560841,10726.289243762185,10780.98938521784,350256400,IBEX35
2015-02-20,10879.2890625,10916.789025472615,10758.98937659616,10889.789052132333,336297400,IBEX35
2015-02-23,10990.0888671875,11015.389623707448,10935.088920946822,11001.289051552456,272017200,IBEX35
2015-02-24,11064.4892578125,11082.689435454982,10951.0889772845,11027.689488852813,297628100,IBEX35
2015-02-25,11049.4892578125,11072.489235452183,11011.689489873503,11027.889669436374,255498600,IBEX35
2015-02-26,11139.48828125,11145.88866514179,11014.388803479744,11023.288208180064,271208100,IBEX35
2015-02-27,11178.2880859375,11184.488274750036,11070.788198634926,11142.888708985909,412536300,IBEX35
2015-03-02,11178.48828125,11239.788021675113,11123.288143805486,11190.488268670048,312325400,IBEX35
2015-03-03,11014.689453125,11212.788869301537,11001.689465803369,11197.588688813168,246878300,IBEX35
2015-03-04,11051.2890625,11079.28903528318,10921.38977470354,11048.088870298185,253266900,IBEX35
2015-03-05,11124.388671875,11154.288054440633,11039.188566314733,11078.087939399518,260657700,IBEX35
2015-03-06,11091.888671875,11158.88860108855,11070.188499489064,11144.488225677767,272187500,IBEX35
2015-03-09,11054.189453125,11078.789038594732,10962.38973764619,11007.88969343046,221014700,IBEX35
2015-03-10,10902.189453125,11081.1892767522,10858.38969159445,11060.489101836078,299027000,IBEX35
2015-03-11,11021.7890625,11048.189427394362,10907.989368725315,10950.289132186115,265916200,IBEX35
2015-03-12,11011.7890625,11067.989202988309,10993.088885429841,11022.889637608701,439287600,IBEX35
2015-03-13,11033.7890625,11077.689410384852,10993.489297047221,11072.889610370303,253107600,IBEX35
2015-03-16,11114.6884765625,11146.688442823399,11077.388711201935,11082.3887059302,292847600,IBEX35
2015-03-17,11028.0888671875,11128.989159528031,10953.689525595551,11117.489170729885,260645800,IBEX35
2015-03-18,11049.9892578125,11075.989232536765,10957.68954285367,11057.389641243257,295712600,IBEX35
2015-03-19,11090.98828125,11146.488222608703,11040.18853023757,11062.888701565045,259184200,IBEX35
2015-03-20,11419.587890625,11458.288046223506,11090.188814590934,11109.78840385289,618645900,IBEX35
2015-03-23,11452.7880859375,11465.38865898181,11364.288176492595,11393.98834141522,328734600,IBEX35
2015-03-24,11579.2880859375,11618.288046467822,11409.888843314502,11428.488433865896,331905900,IBEX35
2015-03-25,11464.6884765625,11591.688346748268,11449.288101679153,11560.688378435207,252131500,IBEX35
2015-03-26,11453.7880859375,11453.7880859375,11294.688639342414,11400.388726509655,308558600,IBEX35
2015-03-27,11427.388671875,11524.188377294717,11403.888695974149,11469.688433184232,310086500,IBEX35
2015-03-30,11529.087890625,11543.188462229964,11432.288184329635,11459.788156377266,304316200,IBEX35
2015-03-31,11521.087890625,11596.087814338336,11444.587968437396,11510.788096414002,336270600,IBEX35
2015-04-01,11569.7880859375,11662.787991740213,11454.288202924454,11481.988370180145,305804100,IBEX35
2015-04-02,11633.98828125,11649.88865585878,11559.188551907198,11583.587941392541,205806700,IBEX35
2015-04-07,11730.48828125,11771.788044679062,11669.288147076393,11715.587905510465,366059600,IBEX35
2015-04-08,11655.48828125,11771.388555345662,11615.788125853132,11738.38858852474,301549800,IBEX35
2015-04-09,11734.587890625,11747.288073254458,11655.188555854671,11688.388718011818,299820800,IBEX35
2015-04-10,11749.2880859375,11777.98825262443,11679.18854647984,11755.288079953101,336786900,IBEX35
2015-04-13,11866.388671875,11884.58787265223,11760.788190224126,11761.688579959939,229311700,IBEX35
2015-04-14,11704.6884765625,11862.58773253605,11645.587949796527,11798.488187337602,377819300,IBEX35
2015-04-15,11778.388671875,11815.587853614174,11710.388739530621,11742.388707692682,292619200,IBEX35
2015-04-16,11611.6884765625,11772.2879238573,11580.288117627375,11772.2879238573,287015300,IBEX35
2015-04-17,11359.388671875,11597.988035102397,11299.888733257256,11565.48806863052,465820400,IBEX35
2015-04-20,11384.587890625,11418.788050733492,11306.388752369452,11400.18846050402,209411300,IBEX35
2015-04-21,11422.2880859375,11503.988197429388,11368.188532066191,11438.988264116373,337592400,IBEX35
2015-04-22,11399.1884765625,11480.388588398548,11276.288212283114,11452.18842207677,306266200,IBEX35
2015-04-23,11425.7880859375,11461.087854420131,11291.288223885993,11417.488289762607,244085900,IBEX35
2015-04-24,11505.388671875,11605.488179294201,11434.587962738671,11469.587927089651,340437300,IBEX35
2015-04-27,11640.1884765625,11679.788046070666,11365.488557803914,11531.988390180346,310809300,IBEX35
2015-04-28,11607.6884765625,11684.587812989896,11542.988346569176,11655.988232488116,280716900,IBEX35
2015-04-29,11378.888671875,11651.888390721406,11371.488288871415,11618.98803397942,310361400,IBEX35
2015-04-30,11384.98828125,11469.188389893985,11257.98841197299,11351.087925519178,386580900,IBEX35
2015-05-04,11429.087890625,11501.788011394847,11280.488433615605,11377.087943942848,224660600,IBEX35
2015-05-05,11115.587890625,11503.888262504392,11102.888685263299,11416.388354752284,319652500,IBEX35
2015-05-06,11163.587890625,11232.788013296074,11048.288206971005,11100.388738217029,275553700,IBEX35
2015-05-07,11180.2880859375,11214.78804977596,10928.188740803384,11125.087948483671,322768200,IBEX35
2015-05-08,11424.6884765625,11424.6884765625,11212.888889126125,11260.788254056371,309356600,IBEX35
2015-05-11,11445.7880859375,11481.58785397147,11377.688546286094,11433.688488950651,198981300,IBEX35
2015-05-12,11322.587890625,11353.988248750986,11221.48838588684,11331.988271520713,292895200,IBEX35
2015-05-13,11324.587890625,11430.888561874443,11282.388715542955,11365.988238408678,249275600,IBEX35
2015-05-14,11398.6884765625,11428.2880555068,11203.888872144344,11304.587987367719,211842200,IBEX35
2015-05-15,11317.2880859375,11438.78796012762,11265.888725097668,11438.78796012762,230823100,IBEX35
2015-05-18,11344.98828125,11367.988257492287,11203.088037200161,11336.788094407842,234028800,IBEX35
2015-05-19,11497.6884765625,11537.788045066953,11403.988376751635,11406.08798398666,282087100,IBEX35
2015-05-20,11574.087890625,11588.688461779439,11460.588005543497,11505.087960487346,192408700,IBEX35
2015-05-21,11595.388671875,11595.388671875,11515.68855711053,11517.88875019943,185431700,IBEX35
2015-05-22,11554.1884765625,11609.888615381547,11533.688497354453,11594.688435485717,168214900,IBEX35
2015-05-25,11322.2880859375,11455.287948280507,11262.087952933105,11421.188374199113,156476200,IBEX35
2015-05-26,11240.2880859375,11344.688367718243,11169.388745792292,11297.087831407478,315131700,IBEX35
2015-05-27,11431.087890625,11467.788048313787,11247.188665089529,11281.688629721377,241034200,IBEX35
2015-05-28,11382.7880859375,11450.688406658108,11291.888765457206,11387.888666623876,191886700,IBEX35
